STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
228,16.2,3.0,0.0,173.68,10.0,0.00027982496545370794,2,0.0,0.9,14.999999999999998,0
230,18.0,9.0,0.0,173.68,10.0,0.0009327498848456932,2,0.0,0.9,16.666666666666664,0
231,60.0,15.0,0.0,173.68,10.0,0.005181943804698295,2,0.0,0.9,55.55555555555555,0
232,57.599999999999994,15.0,0.0,173.68,10.0,0.004974666052510362,3,0.0,1.0,48.0,0
233,16.2,7.5,0.0,173.68,10.0,0.0006995624136342699,3,0.0,1.0,13.5,0
235,60.0,14.0,2.0,173.68,10.0,0.004836480884385075,3,0.0014285714285714286,1.0,50.0,1
236,57.599999999999994,14.0,0.0,173.68,10.0,0.004643021649009671,3,0.0,1.0,48.0,0
238,16.2,4.0,0.0,173.7,10.0,0.0003730569948186529,2,0.0,0.9,14.999999999999998,0
239,66.0,1.0,0.0,173.7,10.0,0.00037996545768566504,2,0.0,0.9,61.11111111111111,0
240,62.4,1.0,0.0,173.7,10.0,0.0003592400690846287,2,0.0,0.9,57.77777777777777,0
241,36.0,1.0,0.0,173.7,10.0,0.00020725388601036275,2,0.0,0.9,33.33333333333333,0
243,62.0,9.0,0.0,173.67999999999998,10.0,0.003212805158912944,3,0.0,1.0,51.66666666666667,0
246,62.0,10.0,0.0,173.67999999999998,10.0,0.003569783509903271,2,0.0,0.9,57.407407407407405,0
247,36.0,10.0,0.0,173.7,10.0,0.0020725388601036273,2,0.0,0.9,33.33333333333333,0
249,62.0,11.0,1.0,173.67999999999998,10.0,0.0039267618608935986,4,0.0009090909090909091,1.15,44.92753623188406,1
250,36.0,11.0,0.0,173.67999999999998,10.0,0.0022800552740672507,3,0.0,1.0,30.0,0
253,62.0,13.0,1.0,173.67999999999998,10.0,0.004640718562874253,4,0.0007692307692307692,1.15,44.92753623188406,1
254,36.0,13.0,0.0,173.67999999999998,10.0,0.002694610778443114,3,0.0,1.0,30.0,0
257,62.0,15.0,0.0,173.67999999999998,10.0,0.005354675264854907,2,0.0,0.9,57.407407407407405,0
258,36.0,15.0,0.0,173.67999999999998,10.0,0.0031091662828189775,2,0.0,0.9,33.33333333333333,0
261,102.0,3.0,1.0,173.68,10.0,0.0017618608935974205,2,0.003333333333333333,0.9,94.44444444444444,1
262,72.0,5.0,0.0,173.7,10.0,0.0020725388601036273,2,0.0,0.9,66.66666666666666,0
263,69.6,5.0,0.0,173.7,10.0,0.002003454231433506,2,0.0,0.9,64.44444444444443,0
265,102.0,8.0,0.0,173.68,10.0,0.004698295716259788,3,0.0,1.0,85.0,0
266,72.0,13.0,0.0,173.7,10.0,0.00538860103626943,4,0.0,1.15,52.173913043478265,0
269,102.0,10.0,0.0,173.7,10.0,0.0058721934369602765,3,0.0,1.0,85.0,0
270,72.0,10.0,0.0,173.7,10.0,0.0041450777202072546,3,0.0,1.0,60.0,0
271,69.6,10.0,0.0,173.68,10.0,0.004007369875633348,2,0.0,0.9,64.44444444444443,0
273,72.0,10.0,0.0,173.7,10.0,0.0041450777202072546,2,0.0,0.9,66.66666666666666,0
274,69.0,10.0,0.0,173.68,10.0,0.003972823583602026,4,0.0,1.15,50.00000000000001,0
276,72.0,10.0,0.0,173.68,10.0,0.004145555043758636,2,0.0,0.9,66.66666666666666,0
277,69.6,10.0,0.0,173.7,10.0,0.004006908462867012,3,0.0,1.0,58.0,0
280,62.4,15.0,0.0,173.7,10.0,0.00538860103626943,2,0.0,0.9,57.77777777777777,0
281,36.0,10.0,0.0,173.7,10.0,0.0020725388601036273,3,0.0,1.0,30.0,0
282,54.0,4.0,0.0,173.7,10.0,0.001243523316062176,3,0.0,1.0,45.0,0
284,43.2,3.0,0.0,173.68,10.0,0.0007461999078765547,2,0.0,0.9,40.0,0
285,42.0,3.0,0.0,173.68,10.0,0.0007254721326577614,3,0.0,1.0,35.0,0
