STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
428,114.0,13.0,0.0,173.7,10.0,0.008531951640759932,3,0.0,1.0,31.66666666666667,0
430,43.199999999999996,2.0,0.0,173.68,10.0,0.0004974666052510364,2,0.0,0.9,18.0,0
431,42.0,2.0,0.0,173.68,10.0,0.00048364808843850764,2,0.0,0.9,17.5,0
432,108.0,2.0,0.0,173.68,10.0,0.001243666513127591,3,0.0,1.0,30.000000000000004,0
433,42.0,2.0,1.0,173.68,10.0,0.00048364808843850764,3,0.005,1.0,11.666666666666668,1
436,43.199999999999996,9.0,0.0,173.68,10.0,0.0022385997236296635,3,0.0,1.0,12.0,0
437,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,3,0.0,1.0,11.666666666666668,0
438,108.0,9.0,0.0,173.68,10.0,0.00559649930907416,3,0.0,1.0,30.000000000000004,0
439,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,3,0.0,1.0,11.666666666666668,0
442,43.199999999999996,9.0,0.0,173.68,10.0,0.0022385997236296635,2,0.0,0.9,18.0,0
443,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,2,0.0,0.9,17.5,0
444,108.0,9.0,0.0,173.68,10.0,0.00559649930907416,4,0.0,1.15,22.5,0
445,42.0,9.0,0.0,173.68,10.0,0.002176416397973284,2,0.0,0.9,17.5,0
448,43.199999999999996,12.0,0.0,173.68,10.0,0.0029847996315062173,3,0.0,1.0,12.0,0
449,42.0,12.0,0.0,173.68,10.0,0.0029018885306310457,3,0.0,1.0,11.666666666666668,0
450,108.0,12.0,2.0,173.68,10.0,0.007461999078765546,3,0.0016666666666666666,1.0,30.000000000000004,1
451,42.0,12.0,0.0,173.68,10.0,0.0029018885306310457,2,0.0,0.9,17.5,0
454,16.2,18.0,0.0,173.68,10.0,0.0016789497927222478,2,0.0,0.9,6.75,0
455,78.0,18.0,0.0,173.68,10.0,0.008083832335329342,3,0.0,1.0,21.666666666666668,0
458,16.2,29.0,0.0,173.68,10.0,0.00270497466605251,2,0.0,0.9,6.75,0
459,78.0,29.0,0.0,173.68,10.0,0.013023952095808382,3,0.0,1.0,21.666666666666668,0
462,16.2,5.0,0.0,173.68,10.0,0.0004663749424228466,2,0.0,0.9,6.75,0
463,78.0,5.0,0.0,173.68,10.0,0.002245508982035928,2,0.0,0.9,32.5,0
464,54.0,3.0,0.0,173.68,10.0,0.0009327498848456932,3,0.0,1.0,15.000000000000002,0
